serialNo,stitle,deptName,postDate,content
873,偷機車代步吃消夜？ 竊嫌一小時遭逮車主睡夢中,高雄市政府警察局公共關係室,2018/04/04 10:24,"  高市警局左營分局博愛四路派出所員警於4月2日凌晨1時15分許，巡經左營區重和路與博愛四路口，見張男騎乘重機車行跡可疑且闖紅燈，遂上前盤查。於警方盤查時，張男神色慌張，警方詢問其騎乘的機車為何人所有，張男辯稱機車是向友人借的，但車主姓名卻答不出來，最後始坦承機車是1小時前在苓雅區偷來的，並供稱因肚子餓才騎機車要去吃消夜。警方聯繫還在睡夢中的車主沈姓婦人，沈婦接獲通知才發現機車被竊。警詢後警方將張男依竊盜罪嫌送辦。
張男供稱於本月2日凌晨00時許以自備鑰匙，至苓雅區三多二路停車格內隨機竊取重機車代步，竊取時先觀察該機車確認停放在原地無人使用，於是下手竊取機車，沒想到才竊取不到一個小時即被警方人贓俱獲。警方查獲張男後通知車主沈婦前來派出所領取機車，在睡夢中的沈婦渾然不知自己的機車遭竊。接獲警方通知後，沈婦及先生立即趕至派出所，夫婦倆一直緊握員警的手喊著「有你們真好」，並肯定警方對治安維護的付出，夫婦倆溫暖的舉動，讓員警感到相當窩心。
"
874,半百老毒蟲冥頑不靈 市區與警上演追逐戰,高雄市政府警察局公共關係室,2018/04/04 10:24,"  高市警局新興分局五福二路派出所長潘宏炎日前(02)晚間19時許巡邏時，於高雄市新興區五福路上發現一輛自小客車行跡可疑，於是打算攔停盤查；該自小客車停靠路邊後，副駕駛座男子下車離去，警方便趁機攔停該車，所長潘宏炎眼尖發現該車駕駛座門旁，有一包疑似毒品夾鏈袋，心知有異，在控制住駕車的徐姓男子後，趕忙驅車尋找方才自副駕駛座下車的男子。
所長潘宏炎於不遠處路口發現方才下車的張姓男子，攔下盤查後男子神色慌張，打開皮夾拿取證件卻露出了皮夾內疑似藏有毒品的夾鏈袋；所長潘宏炎見狀立即質問張男，張男卻故左右而言他，更假借要講電話想躲避問話。此時張男竟然轉身便跑。但張男年近半百，體重接近百公斤，所長潘宏炎雖身穿防彈衣等數公斤裝備，仍是輕而易舉將張男追上並壓制在地。逃逸過程中，張男皮夾內的海洛因毒品夾鏈袋散落地上，遭警方以持有毒品現行犯逮捕，警詢後依毒品罪嫌將兩人移送高雄地檢署偵辦。
"
875,竊賊偷名牌車  怕被偷也不敢騎,高雄市政府警察局公共關係室,2018/04/04 10:21,"  高市警局三民一分局哈爾濱所於107年4月2日6時許，接獲張姓民眾報案稱其放置於捷運站附近未上鎖的捷安特腳踏車(價值約台幣8000元)遭人竊取，經多日調閱監視器畫面後終於鎖定一名歐嫌涉有重嫌，經警方多日調查後至歐嫌住處通知到案說明，全案以竊盜罪函送偵辦。
歐嫌到案後，警方將監視器畫面撥放給歐嫌看，隨後歐嫌坦承畫面裡的人是他沒有錯，歐嫌表示當日他行經該路口見該輛腳踏車未上鎖，又是名牌車，便心生歹念將該腳踏車竊，警方在歐嫌家中地下室查獲該腳踏車。歐嫌向警方表示竊走腳踏車後，本想使用它來代步，但又怕車太好，會再被他人偷走，所以只好停在自家地下室放置保管，警方聽聞哭笑不得並訓斥歐嫌就已經是偷來的東西你還怕被偷走，訊後將歐嫌以竊盜罪嫌函送法辦。
"
876,高市警查獲販賣護照集團  防杜不法集團入侵國門,高雄市政府警察局公共關係室,2018/04/04 10:15,"  高市警局刑事警察大隊偵一隊專案小組接獲情資，由於本國護照近幾年在世界多國都享有免簽、落地簽便利優惠政策，讓國人海外旅遊節省簽證費用和申辦簽證時間，因而本國護照引發許多犯罪集團覬覦。犯罪嫌疑人蘇○允為首之不法犯罪集團，自106年4月迄，便在高雄市、新北市等地區，涉嫌以每本新台幣5-8千元不等價格專門收購國人護照，再轉賣黑市人蛇集團牟利！案經高市警方刑大偵一隊(3分隊) 報請臺灣橋頭地方檢察署指揮偵辦，查獲持有護照嫌疑人段○岳、販賣人柯○婷到案後，專案小組實施向上溯源，陸續於107年3月鎖定蘇○允等集團重要成員藏匿處後，持臺灣橋頭地方法院檢察署拘票及搜索票，分別至新北市、嘉義、台南等地查緝將護照收購集團仲介成員蘇○允等6人查緝到案，全案將主嫌蘇○允等嫌犯，依違反護照條例第29、31條罪嫌，移送臺灣橋頭地方法院檢察署偵辦。
警方分析所查獲護照來源可區分「民眾遭騙」、「民眾失竊」及「民眾自願性販售」等三大類型，因此警方呼籲，針對年長者，常因託付他人代辦出國而遭騙護照，要特別注意代辦者真實身分；另家族式國內外出遊，因其目標顯著且易疏於注意自身財物，容易成為竊嫌鎖定對象，應多注意將財物及護照妥善保管，另對少數民眾因需錢孔急狀態下，而將護照轉賣他人或謊報遺失供他人冒名使用，均係觸犯我國法律行為，警方呼籲民眾切勿以身試法，此外，護照等同民眾在國外時之身分證，因此民眾無論在國內外對護照務必謹慎保管，避免護照流入不法集團遭變造或冒用。
"
877,人在做 神在看 賊星該敗,高雄市政府警察局公共關係室,2018/04/03 09:50,"  高市警局小港分局小港派出所於107年4月1日14時48分接獲110通報，稱土地公廟內的金牌項鍊遭竊，警員梁蓁摯、劉書廷等2人，隨即趕赴現場。經瞭解，係楊姓信眾於參拜時，將『五雷號令 (金牌項鍊) 』放於供桌上，才剛放上金紙過爐，轉個身就不見了，該項鍊是要拿來加持保平安的，警組立即調閱廟內監視器畫面，發現一男子涉有重嫌，特徵為平頭、身高約170公分、騎乘腳踏車作為交通工具，該畫面經上傳所內群組，立即有員警認出該男子係轄內蘇姓竊盜前科犯，警組馬上前往蘇男住處埋伏，直至傍晚見蘇民騎腳踏車返家，警組立即上前盤查詢問，蘇民原先否認，但看過監視器畫面後，見無法狡辯，便承認偷竊金牌，並交付掛於脖子上的「五雷號令」金牌項鍊予警方，詢後依竊盜罪嫌移送高雄地檢署偵辦。
"
878,販毒通緝判刑28年  逃亡高雄遇特警GG了,高雄市政府警察局公共關係室,2018/04/03 09:50,"  高市警局保安大隊特勤中隊小隊長黃慶和、警員黃端揚等人於107年4月2日21時45分許，行經本市三民區大順路與九如路口時，發現自小客停在路邊，見警車靠近時隨即轉入汽車百貨停車格，員警直覺有異向前攔查，該車駕駛卻不下車，員警喝令並告知要破窗，該名男子亦在車內打電話不肯下車，双方僵持約3、40分鐘，於是警網立即請求線上警組支援，強勢要破窗時駕駛始開車門，員警立即將該名男子拉出車外並制伏，李嫌並告知警方在副駕駛座前置物箱內藏有二級毒品安非他命2包(重70.1公克)，全案帶隊偵辦。
經查李嫌有4案通緝(3案毒品及1案傷害)，其中桃園地檢於106年3月30日發布毒品通緝刑期28年10月，聲稱從桃園來高雄找朋友，因為本身通緝在案及車內帶有毒品，所以看到警察一時心慌不敢開車門，想不到還是栽在高雄特警手上，全案依通緝及毒品危害防制條例移送。
"
879,大甲鎮瀾宮天上聖母遶境活動交通管制曁安全維護,彰化縣警察局公共關係科,2018/04/12 15:10,"彰化縣警察局為維護大甲鎮瀾宮天上聖母（大甲媽祖）遶境轄區期間交通順暢與安全，規劃相關疏導及安全維護措施，確保遶境路線各路口交通順暢及鑾轎安全。
大甲鎮瀾宮天上聖母遶境活動預計於107年4月14日中午由大度橋進入彰化市，於市區各廟宇進行遶境活動，深夜在「南瑤宮」駐駕；翌日凌晨沿中山路南下直至花壇鄉進入大村鄉。沿途行經彰化市中山路、國聖路、茄苳路、自強路、自強南路、彰美路、辭修路、民生路、三民路、中正路、南瑤路、花壇鄉中山路等路段，該局彰化分局將於上揭時段、地點進行交通疏導管制措施，維護彰化市區交通順暢及減少交通事故發生。
有鑒於歷年遶境活動，彰化地區信眾非常熱情參與，各宮廟自組陣頭迎接鑾轎，接轎時因人多擁擠、偶有言語口角及肢體接觸糾紛，尤以彰化市民生地下道，每年發生接轎陣頭衝突，為防範類似事故發生，影響遶境活動進行，彰化縣警察局已由轄區彰化分局針對往年易衝突地點事前約制告誡陣頭人士，對易生糾紛地點規劃警力於鑾轎抵達前防止衝突發生，確保鑾轎遶境安全，另針對遶境活動滋事分子，彰化縣警察局秉持強力執法作為，將當場排除、制止或帶離等必要措施。
彰化縣警察局呼籲參與遶境活動民眾，請依序行進避免推擠造成自身傷害，駕車行經遶境路線(周邊)，請配合交通員警指揮疏導，勿恣意穿越行進中之遶境民眾隊伍，避免發生危險。另本次遶境活動，可透過智慧型手機下載「大甲媽祖」APP，即能掌握遶境訊息，本次活動彰化分局特別與大甲鎮瀾宮主辦單位聯繫，結合「大甲媽祖」APP平臺即時連結，提供彰化市道路管制及替代道路等訊息。民眾利用智慧型手機進入「大甲媽祖」APP程式，即可即時掌握神轎所在位置，並可進一步點選畫面下方「彰化分局交通管制措施」，即可了解即時交通訊息。另於主要省道CMS系統傳遞遶境即時資訊，用路人可先期改道及早避開壅塞路段，減少行車等候時間。
遶境活動期間民眾人潮聚集，易有不法宵小隱藏其中，趁民眾擁(推)擠時，伺機扒竊民眾財物，該局刑事警察大隊為防範類似案件發生，成立「檢扒小組」於活動中加強防制作為。為提醒民眾注意，遶境活動期間亦將運用警察志工，於遶境隊伍前手持宣導標語，提醒民眾注意自身財物。
彰化縣警察局為維護大甲媽祖遶境活動順暢與安全，於交通、治安、犯罪宣導等多方規劃勤務及便民措施，在此呼籲參加活動民眾均應保持理性和平，並遵從警察人員的指揮與引導，期盼活動順遂，參與人員平安，讓媽祖保佑大家！
"
880,只要你敢領!一定抓到你!,臺北市政府警察局公共關係室,2018/04/12 08:49,"　　本分局為宣誓執法決心，於今(107)年2月7日製作防詐標語「警告詐欺車手：「只要你敢領，一定抓到你!」，並將該標語張貼至本轄各銀行、超商、ATM，以警告詐騙集團，維護轄內治安。轄下安和路派出所所長林聖崴更於107年4月9日15時許，在臺北市大安區仁愛路四段眼尖發現一名操作ATM提款民眾形跡可疑，經上前盤查，該嫌對警方詢問卡片屬何人所有？心虛答稱：「老闆」，但卻不知老闆何人，當場查獲詐欺車手余0軒1名，該嫌涉嫌提領詐欺贓款新臺幣15萬元，現場另查扣1張提款卡及1支套房鑰匙。
　　林所長現場盤查時，見余嫌答話破綻百出，直接霸氣告知：我們大安區員警專門抓車手!余嫌回覆：不清楚。林所長隨即帶余嫌至ATM前，並指著ATM前的防詐標語內容覆誦一遍：「只要你敢領，一定抓到你!」此舉除再次宣誓本分局執法決心，亦令余嫌無言以對，俯首認罪。
　　經查本分局於今(107)年2月7日張貼防詐標語後，共計查獲車手22名，提領數從1月315件，陡降至2月0件，3月2件，其中3月2件亦已全數破案。
　　大安分局呼籲民眾，針對詐騙電話，多一步確認，多一點安心，本分局亦將持續查緝所有不法案件，以保障人民生命財產安全，確保社會安寧。"
881,物流車貨廂起火，駕駛機警處置無人傷,臺北市政府警察局公共關係室,2018/04/12 08:48,"本（11）日上午約8時許在內湖區南京東路6段、舊宗路1段口附近，一輛物流小貨車自環東大道下舊宗路匝道時，後車廂開始冒煙，於南京東路與舊宗路口停等紅燈時，後方汽車按鳴喇叭示警，物流小貨車駕駛才發現車輛後方有異狀；駕駛立即將車輛行駛至路旁，並通報消防及警察機關，自行拿出小型滅火器先行處置，所幸消防隊抵達後迅速將火勢撲滅，起火原因消防單位仍在調查中。
內湖分局提醒各位駕駛朋友，行駛中如遇車輛冒煙起火，應立即開啟故障雙黃燈並將車輛停放至路旁，拉起手煞車、熄火並通知警消單位，若車上有放置滅火器亦可先行處理，以免災害擴大。"
882,「2018 TAISHIN WOMEN RUN TPE」路跑活動實施交通管制,臺北市政府警察局公共關係室,2018/04/12 08:47,"「2018 TAISHIN WOMEN RUN TPE」路跑活動訂於107年4月15日(星期日)5時至10時假市民廣場舉行，活動於當(15)日5時30分起跑，行經本市仁愛路、金山南路、新生高架道路、北安路、明水路、樂群一路、濱江街及河濱公園道路等路段，預計參加人數為1萬8，000人(半馬組1萬1，000人、挑戰組7，000人)，臺北市政府警察局為維護交通秩序與活動安全，將實施交通管制，禁止車輛通行，管制路段及時間如下：
市府路(松高路至松壽路)：0時至9時管制雙向全線車道。
信義一號道路：5時至7時管制南往北全線車道。
仁愛路(逸仙路至金山南路)：5時20分至7時30分管制中央快車道及公車專用道。
仁愛路(金山南路至林森南路)：5時20分至7時30分管制中央快車道、公車專用道及北側慢車道。
建國高架道路：5時20分至8時管制仁愛路出口匝道。
金山南路(仁愛路至濟南路)：5時20分至7時30分管制南往北內側2線車道及北往南全線車道。
新生高架道路：3時30分至8時管制雙向全線各入出口匝道。
濱江街(新生北路至基10號水門)：6時至8時30分管制北側2線車道。
中山橋：5時30分至8時管制南往北機慢車道，機車改道行駛快車道。
北安路 (北安匝道至明水路)：5時30分至8時30分管制西往東全線車道。
明水路(北安路至樂群一路)：5時30分至8時30分管制西往東全線車道。
樂群一路(明水路至敬業三路)：5時30分至8時30分管制西往東全線車道。
大直橋明水路匝道：5時30分至8時30分管制該匝道出口。
基8、9、10號疏散門：5至10時管制車輛進入。
基16號疏散門：5至8時管制車輛進入。
麥帥一橋：5時30分至9時管制機慢車道(往市區方向)。
活動管制期間，請用路人避開交通管制路段，提前改道行駛，規劃改道動線如下：
一、欲穿越仁愛路往北車輛：改道中山南路、建國高架橋或基隆路車行地下道。
二、欲穿越仁愛路往南車輛：改道林森南路、建國高架橋或基隆路車行地下道。
三、新生高架道路車流：請改道行駛新生北路、中山北路。
四、明水路、樂群一路之西往東車流：請改道行駛北安路。
五、麥帥一橋機慢車道：改道行駛麥帥一橋快車道。
六、北安路(圓山隧道至明水路)往東車輛：改道行駛北安路東往西內側1線調撥車道。
活動期間賽道沿線實施交通管制，禁止車輛通行，管制範圍內之公車候車處暫停服務，民眾如欲查詢公車改道路線，請利用臺北市公共運輸處網站http://www.pto.gov.taipei/查詢相關資訊。
為維護本市道路交通安全與順暢及減少用路人因交通管制造成之不便，臺北市政府警察局籲請用路人於活動管制期間提前改道通行，留意收聽警察廣播電臺路況插播，並遵守各路口執勤員警及義交人員指揮、疏導，共同維護交通安全與秩序。"
883,門後的犯罪,臺北市政府警察局公共關係室,2018/04/12 08:46,"家庭暴力通常發生在家庭內，或是親密關係的成員，外人往往不易得知，因此又稱之為「門後的犯罪」，而家庭暴力防治法通過後，藉由公部門的介入使個案免遭受暴力的侵害，並能得到較完善的人身安全保護，根據衛服部統計，家暴案件的發生有逐年增加的趨勢，然而民眾如何聲請保護令並不清楚流程如何進行。
保護令分為三種，簡單說明如下:
一、通常保護令:
可由當事人、檢警單位、主管機關以書面聲請，法院核發後有效期間為二年以下，失效前得請求撤銷、變更或延長，每次延長期間為二年以下，延長次數不限。
二、暫時保護令:
可由當事人、檢警單位、主管機關以書面聲請，自核發時起生效，但於法院審理終結核發通常保護令或駁回時失其效力。
三、緊急保護令:
當事人處於急迫危險時，僅能由檢察官、警察機關、主管機關以書面、言詞、電信傳真或其他方式聲請，法院應於四小時內以書面核發緊急保護令，並得以電信傳真或其他科技設備傳送緊急保護令予警察機關，自核發時起生效，但於法院審理終結核發通常保護令或駁回時失其效力。
本隊呼籲保護令並非只是一張紙無嚇阻作用，而讓自己永遠躲在門後致使施暴者變本加厲侵害及摧殘你，其實保護令核發後，若施暴者仍暴力相向將構成違反保護令罪的適用，此時則必須負起違反刑事保護令罪之相關刑責，最後還是提醒所有曾經受過家暴或是發現已有潛在家暴情形的朋友們，如果您真的不幸遭受家庭暴力，請勇於尋求協助來終止暴力，亦可撥打「110」、「113」等專線求助，更多相關婦幼安全知識，請至本隊官方臉書「珍妮姐姐」搜尋瀏覽(網址https://www.facebook.com/fuyopolice.taipei/)"
884,因應凱達格蘭大道舉行「台灣國際文化嘉年華」集會活動實施交通管制說明動實施交通管制說明,臺北市政府警察局公共關係室,2018/04/12 08:45,"107年4月14日(星期六)0時至22時，本市中正區凱達格蘭大道將舉辦「台灣國際文化嘉年華」申准集會活動，交通管制範圍說明如下：
凱達格蘭大道（公園路〔不含〕至中山南路〔不含〕間）東、西向全線車道，預定於107年4月14日(星期六)0時起至22時止，管制車輛通行。(視交通狀況提早或延後管制)
中正第一分局為維護活動交通秩序與安全，將視現場集會、交通及人數狀況擴大交通管制範圍；駕駛人行經前揭路段時請配合減速慢行，勿任意違規停車並請遵守現場員警指揮疏導，以確保行車安全與順暢。
有關前揭交通管制措施將隨時提供警廣等電臺插播路況報導，中正第一分局特別呼籲請駕駛人隨時收聽路況報導，提前改道行駛，避開管制路段及注意行車安全，以免增加管制區域周邊道路車流延滯及耽誤行車時間，共同維護交通順暢與安全。"
885,車輛急右轉  意外查獲K他命,嘉義市政府警察局公共關係科,2018/04/11 17:08,"嘉義市政府警察局第二分局新南派出所所長羅寁驊及警員陳伯霖於日前執行巡邏勤務，行經轄內彌陀路巷口發現鎖定已久的車輛，該車主劉男為嘉義縣警察局所列管之毒品治安顧慮人口。
警方發現嫌疑人車輛後，尾隨在後伺機攔查，該車輛疑似發現遭巡邏車在後尾隨，不斷行駛在設有分隔島之內側車道，意圖製造攔查難度，直到行經彌陀路與芳安路口時，由彌陀路內側車道急駛右轉橫跨機慢車道駛入芳安路，警方見機不可失將車輛攔下，攔查後發現駕駛人劉男確實為毒品治安顧慮人口，車內乘客陳男也有多項毒品前科，劉男早已在3個月前遭警方持搜索票搜索，現場起獲二級毒品安非他命等證物，這次警方在盤查過程中聞到濃厚燃燒三級毒品K他命的味道，並在其車輛起獲三級毒品K他命1小包(毛重共0.93公克)且在乘客陳男的隨身包包內起獲K菸1支及三級毒品K他命1小包(毛重共0.30公克)，仍依毒品危害防制條例偵辦並向上溯源擴大偵辦。
嘉義市政府警察局第二分局表示：「躲得了一時，逃不了一世」，防制及打擊犯罪是警察責任，持續掃蕩犯罪，有效淨化社會治安，維護市民生命財產安全，使嘉義市續朝『安全』、『安心』、『安康』之三安城市願景戮力以赴，使治安環境更上一層樓。此外，吸食毒品造成的戕害身心及所付出的社會成本之鉅，實在不可不慎，假若發現身旁親朋好友有施用毒品之情事，請立即撥打110或是與就近派出所聯繫，及時伸出援手，遠離毒品危害。
"
886,派出所前車禍  新南警奔出急救援,嘉義市政府警察局公共關係科,2018/04/11 17:08,"嘉義市政府警察局第二分局新南派出所警員張嘉佑及李柏融於107年4月6日擔服巡邏勤務時，於13時56分許返回到派出所時聽到派出所外一煞車碰撞聲，警方快速奔出派出所外查看，發現一女子機車擦撞並受傷倒地，警方立即通知消防醫護人員到場協助。
經了解家住嘉義縣梅山鄉的64歲老翁駕駛小貨車載運自家之割草機於當日12時許來到新南派出所旁農業機械行維修，於13時56分將修好的割草機搬上車後打方向燈從路邊駛出，打算從新南所前分隔島缺口駛入快車道，不料26歲女子騎乘機車由吳鳳南路南向北行，疑因車速過快反應不及從後擦撞老翁小貨車後方保險桿倒地滑行，經過的路人民眾嚇一大跳上前關心女子傷勢，員警張嘉佑、李柏融、陳伯霖及郭琮涵亦快速奔出所外查看，除通知消防醫護人員到場協助就醫外亦聯絡女子家屬前來，現場經醫護人員初步檢查後沒有生命危險，手腳有嚴重外傷並送往醫院治療，女子家屬接獲警方通知後急忙趕到現場及前往醫院探視，十分感謝警方的關懷協助。
嘉義市政府警察局第二分局表示：行車保持安全距離才有足夠時間來應變突發狀況，千萬不可跟車輛太近，尤其天雨路滑或路面潮濕、濃霧、強風、大雨等天候欠佳狀況、夜間行駛或行車於下坡路段、隧道內等特殊狀況，安全距離應適度的增加，此外道路都有速限規定，如車速過快發生緊急狀況就無法在一定距離內停車很容易發生車禍。
"
887,手機遺失  北門警門縫中找回,嘉義市政府警察局公共關係科,2018/04/11 17:08,"嘉義市政府警察局第二分局北門派出所警員劉嘉航及蔡佳汶於107年4月5日擔服巡邏勤務時，接獲男子報案稱其手機遺失，警方立即前往現場了解。
警方到達現場發現該名男子一臉慌張不知所措，警方先安撫男子的情緒，然後詢問發生的經過，男子稱其於當日20時許在中山路火鍋店用餐結束與女兒講完電話後便返家，返家後欲從褲子口袋中拿出手機，孰不知反覆掏口袋依然找不到手機，十分著急認為在返家路途中遺失了，該手機陪伴男子歷經數年，雖手機款式並非現今主流，男子依然捨不得汰換，且該手機裡面有許多與家人的合照及老朋友的連絡電話，警方於是陪男子沿線尋找，返家的路程也持續的撥打電話但均無人接聽，同時並調閱火鍋店內的監視器。經警方陪同蘇男到家時，於家門口傳來一陣震動及忽大忽小的聲音，四處查看後終於在窗戶的隙縫中找到該「遺失」的手機，蘇男再次看到陪伴多年的手機失而復得，臉上立刻展露出笑容並頻頻向警方致謝，感謝警方的細心和耐心，才能讓他最愛的手機回到身邊。
嘉義市政府警察局第二分局表示：警察全天候全年無休地執行勤務，無非就是要維護治安良好、交通安全順暢。同時，亦會主動發現任何需要協助與服務的地方。警察在為民服務這方面，將會持續且不遺餘力地貫徹執行。
"
888,老婦家中滑倒  熱心警緊急協助,嘉義市政府警察局公共關係科,2018/04/11 17:07,"嘉義市政府警察局第二分局公園派出所巡佐王嚮堂及警員詹顏銘於107年4月5日執行巡邏勤務時，於12時許接獲民眾報案稱位在民權路巷內有一名老婦人在家中滑倒，警方立即趕赴現場。
警方到達現場後發現該名老婦意識尚清醒，但因受到驚嚇身體不停的抖動，警方擔心老婦人因滑倒骨折，立即通知消防局救護車前來救護。經消防人員到達現場後，先初步檢查老婦人的傷勢，經過一番檢查後，初步發現只有腳部有擦傷，警方便與消防局救護人員一同將其扶起。家屬表示，因為近日為國定連續假日期間，所以讓外籍看護休假，自己一個人照顧，沒想到老婦人在廁所內不慎滑倒，自己臨時又找不到人幫忙，在沒有辦法的情況下才會撥打110請求警方協助，幸好警方到達現場處理得當，並通知消防局救護人員前來檢查，真的很感謝大家的幫忙，警方在安撫老婦人使其心情平復後，才行離開。
嘉義市政府警察局第二分局表示：台灣屬於高齡化社會，俗語說:「家有一老，如有一寶」，晚輩應該給予長輩適時的關心。如發現家中有年老長輩需要幫忙，請立即撥打110請求警察協助，警察將把民眾小事當做大事來服務，期許同仁能積極為民服務，讓民眾感受到嘉義市是一個「溫馨、安全、友善」的城市。
"
